This is the complete list of games supported by MAME 0.37 BETA 1 (Apr  6 2000)
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Game Name                        |Working|Colors | Sound | Flip  |   Name   |
+----------------------------------+-------+-------+-------+-------+----------+
| '88 Games                        |  Yes  |  Yes  |  Yes  |  Yes  | 88games  |
| 005                              |  Yes  |  Yes  |   No  |  Yes  | 005      |
| 10 Yard Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | yard     |
| 1941 - Counter Attack            |  Yes  |  Yes  |  Yes  |  Yes  | 1941     |
| 1942                             |  Yes  |  Yes  |  Yes  |  Yes  | 1942     |
| 1943 - The Battle of Midway      |  Yes  |  Yes  |  Yes  |   No  | 1943     |
| 1943 Kai                         |  Yes  |  Yes  |  Yes  |   No  | 1943kai  |
| 2020 Super Baseball              |  Yes  |  Yes  |  Yes  |  Yes  | 2020bb   |
| 3 Count Bout / Fire Suplex       |  Yes  |  Yes  |  Yes  |  Yes  | 3countb  |
| 4 Player Bowling                 |  Yes  |  Yes  |   No  |  Yes  | bowler   |
| 4-D Warriors                     |  Yes  |  Yes  |  Yes  |   No  | 4dwarrio |
| 64th. Street - A Detective Story |  Yes  |  Yes  |  Yes  |  Yes  | 64street |
| 720 Degrees                      |  Yes  |  Yes  |  Yes  |  Yes  | 720      |
| Act-Fancer Cybernetick Hyper Weap|  Yes  |  Yes  |  Yes  |  Yes  | actfancr |
| Adventure Quiz 2 Hatena Hatena no|  Yes  |  Yes  |  Yes  |  Yes  | hatena   |
| Aero Fighters                    |  Yes  |  Yes  |  Yes  |   No  | aerofgt  |
| Aero Fighters 2 / Sonic Wings 2  |  Yes  |  Yes  |  Yes  |  Yes  | sonicwi2 |
| Aero Fighters 3 / Sonic Wings 3  |  Yes  |  Yes  |  Yes  |  Yes  | sonicwi3 |
| Aggressors of Dark Kombat / Tsuuk|  Yes  |  Yes  |  Yes  |  Yes  | aodk     |
| Air Buster                       |  Yes  |  Yes  |  Yes  |  Yes  | airbustr |
| Air Duel                         |  Yes  |  Yes  |Partial|   No  | airduel  |
| Air Wolf                         |  Yes  |  Yes  |  Yes  |  Yes  | airwolf  |
| Ajax                             |  Yes  |  Yes  |  Yes  |  Yes  | ajax     |
| Alex Kidd                        | No(1) |  Yes  |  Yes  |  Yes  | alexkidd |
| Ali Baba and 40 Thieves          |  Yes  |  Yes  |  Yes  |  Yes  | alibaba  |
| Alien Storm                      | No(1) |  Yes  |  Yes  |  Yes  | astorm   |
| Alien Syndrome                   |  Yes  |  Yes  |  Yes  |  Yes  | aliensyn |
| Aliens                           |  Yes  |  Yes  |  Yes  |  Yes  | aliens   |
| Alpha Mission II / ASO II - Last |  Yes  |  Yes  |  Yes  |  Yes  | alpham2  |
| Alpine Ski                       |  Yes  |  Yes  |  Yes  |  Yes  | alpine   |
| Altered Beast                    |  Yes  |  Yes  |  Yes  |  Yes  | altbeast |
| Amazing Maze                     |  Yes  |  Yes  |   No  |  Yes  | maze     |
| Ambush                           |  Yes  |  Yes  |  Yes  |  Yes  | ambush   |
| American Horseshoes              |   No  |  Yes  |  Yes  |  Yes  | horshoes |
| Amidar                           |  Yes  |  Yes  |  Yes  |  Yes  | amidar   |
| Andro Dunos                      |  Yes  |  Yes  |  Yes  |  Yes  | androdun |
| Anteater                         |  Yes  |  Yes  |  Yes  |  Yes  | anteater |
| APB - All Points Bulletin        |  Yes  |  Yes  |  Yes  |  Yes  | apb      |
| Appoooh                          |  Yes  |  Yes  |  Yes  |  Yes  | appoooh  |
| Arabian                          |  Yes  | Close |  Yes  |   No  | arabian  |
| Arbalester                       |  Yes  |  Yes  |Partial|  Yes  | arbalest |
| Arcade Classics                  |  Yes  |  Yes  |  Yes  |  Yes  | arcadecl |
| Arch Rivals                      |  Yes  |  Yes  |  Yes  |  Yes  | archrivl |
| Ark Area                         |  Yes  |  Yes  |  Yes  |  Yes  | arkarea  |
| Arkanoid                         |  Yes  |  Yes  |  Yes  |  Yes  | arkanoid |
| Arkanoid - Revenge of DOH        |  Yes  |  Yes  |  Yes  |  Yes  | arkanoi2 |
| Arm Wrestling                    |  Yes  |  Yes  |  Yes  |  Yes  | armwrest |
| Armed Formation                  |  Yes  |  Yes  |  Yes  |   No  | armedf   |
| Armor Attack                     |  Yes  |  Yes  | Yes(2)|  Yes  | armora   |
| Armored Car                      |  Yes  |  Yes  |  Yes  |  Yes  | armorcar |
| Art of Fighting / Ryuuko no Ken  |  Yes  |  Yes  |  Yes  |  Yes  | aof      |
| Art of Fighting 2 / Ryuuko no Ken|  Yes  |  Yes  |  Yes  |  Yes  | aof2     |
| Art of Fighting 3 - The Path of t|  Yes  |  Yes  |  Yes  |  Yes  | aof3     |
| ASO - Armored Scrum Object       |  Yes  |  Yes  |Partial|  Yes  | aso      |
| Assault                          |  Yes  |  Yes  |  Yes  |  Yes  | assault  |
| Asteroids                        |  Yes  |  Yes  |  Yes  |  Yes  | asteroid |
| Asteroids Deluxe                 |  Yes  |  Yes  |  Yes  |  Yes  | astdelux |
| Astro Blaster                    |  Yes  |  Yes  | Yes(2)|  Yes  | astrob   |
| Astro Fighter                    |  Yes  |  Yes  | Yes(2)|  Yes  | astrof   |
| Astro Invader                    |  Yes  |  Yes  | Yes(2)|  Yes  | astinvad |
| Astyanax, The                    |  Yes  |  Yes  |  Yes  |  Yes  | astyanax |
| Atari Baseball                   |  Yes  |  Yes  |  Yes  |  Yes  | abaseb   |
| Atari Football                   |  Yes  |  Yes  |  Yes  |  Yes  | atarifb  |
| Atari Soccer                     |  Yes  |  Yes  |  Yes  |  Yes  | soccer   |
| Athena                           |  Yes  |  Yes  |  Yes  |   No  | athena   |
| Atomic Point                     |  Yes  |  Yes  |   No  |  Yes  | atomicp  |
| Aurail                           |  Yes  |  Yes  |  Yes  |  Yes  | aurail   |
| Avalanche                        |  Yes  |  Yes  |  Yes  |  Yes  | avalnche |
| Avengers                         |   No  |   No  |  Yes  |  Yes  | avengers |
| Avenging Spirit                  |  Yes  |  Yes  |  Yes  |  Yes  | avspirit |
| Aztarac                          |  Yes  |  Yes  |  Yes  |  Yes  | aztarac  |
| Azurian Attack                   |  Yes  |  Yes  |  Yes  |  Yes  | azurian  |
| Bad Dudes vs. Dragonninja        |  Yes  |  Yes  |  Yes  |   No  | baddudes |
| Bad Lands                        |  Yes  |  Yes  |  Yes  |  Yes  | badlands |
| Bagman                           |  Yes  |  Yes  |Partial|  Yes  | bagman   |
| Bakatonosama Mahjong Manyuki     |  Yes  |  Yes  |  Yes  |  Yes  | bakatono |
| Balloon Bomber                   |  Yes  |  Yes  |  Yes  |  Yes  | ballbomb |
| Baluba-louk no Densetsu          |  Yes  | Close |  Yes  |  Yes  | baluba   |
| Bandido                          |  Yes  |  Yes  |Partial|  Yes  | bandido  |
| Bank Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | bankp    |
| Baraduke                         |  Yes  |  Yes  |  Yes  |  Yes  | baraduke |
| Barrier                          |  Yes  |  Yes  | Yes(2)|  Yes  | barrier  |
| Baseball Stars 2                 |  Yes  |  Yes  |  Yes  |  Yes  | bstars2  |
| Baseball Stars Professional      |  Yes  |  Yes  |  Yes  |  Yes  | bstars   |
| Basketball                       |  Yes  |  Yes  |  Yes  |  Yes  | bsktball |
| Batman                           |  Yes  |  Yes  |  Yes  |  Yes  | batman   |
| Batsugun                         |  Yes  |  Yes  |   No  |  Yes  | batsugun |
| Battlantis                       |  Yes  |  Yes  |  Yes  |  Yes  | battlnts |
| Battle Chopper                   |  Yes  |  Yes  |  Yes  |   No  | bchopper |
| Battle Flip Shot                 |  Yes  |  Yes  |  Yes  |  Yes  | flipshot |
| Battle Lane Vol. 5               |  Yes  |   No  |  Yes  |   No  | battlane |
| Battle of Atlantis               |  Yes  |  Yes  |  Yes  |  Yes  | atlantis |
| Battle Zone                      |  Yes  |  Yes  |  Yes  |  Yes  | bzone    |
| Battle-Road, The                 |  Yes  |  Yes  |  Yes  |  Yes  | battroad |
| Bay Route                        |  Yes  |  Yes  |  Yes  |  Yes  | bayroute |
| Bells & Whistles                 |  Yes  |  Yes  |  Yes  |  Yes  | blswhstl |
| Beraboh Man                      |  Yes  |  Yes  |  Yes  |  Yes  | berabohm |
| Berlin Wall, The                 |  Yes  |   No  |  Yes  |  Yes  | berlwall |
| Bermuda Triangle                 |  Yes  |  Yes  |  Yes  |   No  | bermudat |
| Berzerk                          |  Yes  |  Yes  | Yes(2)|  Yes  | berzerk  |
| Big Pro Wrestling!, The          |  Yes  |  Yes  |  Yes  |  Yes  | bigprowr |
| Big Striker                      |  Yes  |  Yes  |  Yes  |  Yes  | bigstrik |
| Bio Attack                       |  Yes  |  Yes  |  Yes  |  Yes  | bioatack |
| Bionic Commando                  |  Yes  |  Yes  |  Yes  |  Yes  | bionicc  |
| Birdie King 2                    |  Yes  |  Yes  |  Yes  |  Yes  | bking2   |
| Black Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blkhole  |
| Black Tiger                      |  Yes  |  Yes  |  Yes  |   No  | blktiger |
| Black Widow                      |  Yes  |  Yes  |  Yes  |  Yes  | bwidow   |
| Blade Master                     |  Yes  |  Yes  |   No  |   No  | bmaster  |
| Blades of Steel                  |  Yes  |  Yes  |Partial|  Yes  | bladestl |
| Blast Off                        |  Yes  |  Yes  |  Yes  |  Yes  | blastoff |
| Blasted                          |  Yes  |  Yes  |  Yes  |  Yes  | blasted  |
| Blaster                          |  Yes  |  Yes  |  Yes  |  Yes  | blaster  |
| Blasteroids                      |  Yes  |  Yes  |  Yes  |  Yes  | blstroid |
| Blasto                           |  Yes  |  Yes  |Part(2)|   No  | blasto   |
| Blazer                           |  Yes  |  Yes  |  Yes  |  Yes  | blazer   |
| Blazing Star                     |  Yes  |  Yes  |  Yes  |  Yes  | blazstar |
| Block Block                      |  Yes  |  Yes  |  Yes  |  Yes  | block    |
| Block Gal                        |   No  |  Yes  |  Yes  |   No  | blockgal |
| Block Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blockhl  |
| Block Out                        |  Yes  |  Yes  |  Yes  |  Yes  | blockout |
| Blockade                         |  Yes  |  Yes  |Part(2)|   No  | blockade |
| Blood Bros.                      |  Yes  |  Yes  |  Yes  |  Yes  | bloodbro |
| Blue Print                       |  Yes  |  Yes  |  Yes  |  Yes  | blueprnt |
| Blue Shark                       |  Yes  |  Yes  |   No  |  Yes  | blueshrk |
| Blue's Journey / Raguy           |  Yes  |  Yes  |  Yes  |  Yes  | bjourney |
| Body Slam                        |  Yes  |  Yes  |  Yes  |  Yes  | bodyslam |
| Bogey Manor                      |  Yes  | Close |  Yes  |   No  | bogeyman |
| Bomb Bee                         |  Yes  |  Yes  |  Yes  |   No  | bombbee  |
| Bomb Jack                        |  Yes  |  Yes  |  Yes  |  Yes  | bombjack |
| Bombjack Twin                    |  Yes  |  Yes  |  Yes  |  Yes  | bjtwin   |
| Boot Hill                        |  Yes  |  Yes  | Yes(2)|  Yes  | boothill |
| Bosconian                        |  Yes  |  Yes  | Yes(2)|  Yes  | bosco    |
| Bottom of the Ninth              |  Yes  |  Yes  |  Yes  |  Yes  | bottom9  |
| Boulder Dash / Boulder Dash Part |  Yes  |  Yes  |  Yes  |   No  | bouldash |
| Bowl-O-Rama                      |  Yes  |  Yes  |  Yes  |  Yes  | bowlrama |
| Boxing Bugs                      |  Yes  | Close | Yes(2)|  Yes  | boxingb  |
| Brain                            |  Yes  |  Yes  |  Yes  |   No  | brain    |
| Break Thru                       |  Yes  |  Yes  |  Yes  |  Yes  | brkthru  |
| Breakers                         |  Yes  |  Yes  |  Yes  |  Yes  | breakers |
| Bubble Bobble                    |  Yes  |  Yes  |  Yes  |   No  | bublbobl |
| Bubbles                          |  Yes  |  Yes  |  Yes  |  Yes  | bubbles  |
| Burger Time                      |  Yes  |  Yes  |  Yes  |  Yes  | btime    |
| Burnin' Rubber                   |  Yes  |  Yes  |  Yes  |  Yes  | brubber  |
| Burning Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | burningf |
| Burning Force                    |  Yes  |  Yes  |  Yes  |  Yes  | burnforc |
| Cabal                            | No(1) |  Yes  |Partial|   No  | cabal    |
| Cachat                           |  Yes  |  Yes  |  Yes  |  Yes  | cachat   |
| Cadillacs and Dinosaurs          |  Yes  |  Yes  |  Yes  |  Yes  | dino     |
| Calipso                          |  Yes  |  Yes  |  Yes  |  Yes  | calipso  |
| Canyon Bomber                    |  Yes  |  Yes  |   No  |  Yes  | canyon   |
| Capcom Baseball                  |  Yes  |  Yes  |  Yes  |  Yes  | cbasebal |
| Capcom Bowling                   |  Yes  |  Yes  |  Yes  |  Yes  | capbowl  |
| Capcom World                     |  Yes  |  Yes  |  Yes  |  Yes  | cworld   |
| Capcom World 2                   |  Yes  |  Yes  |  Yes  |  Yes  | cworld2j |
| Captain Commando                 |  Yes  |  Yes  |  Yes  |  Yes  | captcomm |
